litho_code,lithology_name,n_samples,rock_group,tier,lith_class,keep,note
SDST,Sandstone,6756,Sediment Siliciclastic Arenite,basement,Clastic sediment,Y,SARIG siliciclastic sediment [ROCK_GROUP: Sediment Siliciclastic Arenite]
GNSS,Gneiss,5231,Metamorphic General,basement,Metamorphic,Y,SARIG metamorphic [ROCK_GROUP: Metamorphic General]
SLST,Siltstone,5124,Sediment Siliciclastic Lutite,basement,Clastic sediment,Y,SARIG siliciclastic sediment [ROCK_GROUP: Sediment Siliciclastic Lutite]
CLYU,Clay (Undiff. Origin),5069,General/Miscellaneous,overburden,Transported cover,Y,undiff clay in SA drillholes is overwhelmingly Cenozoic cover
SAND,Sand,4786,Sediment Siliciclastic Arenite,overburden,Transported cover,Y,unconsolidated name within siliciclastic group
GRNT,Granite,4630,Igneous Felsic Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic Intrusive]
SHLE,Shale,4174,Sediment Siliciclastic Lutite,basement,Clastic sediment,Y,SARIG siliciclastic sediment [ROCK_GROUP: Sediment Siliciclastic Lutite]
CLYR,Clay (Regolith),3794,Regolith,interburden,In-situ regolith,Y,regolith clay = in-situ weathering product
SCHT,Schist,3546,Metamorphic General,basement,Metamorphic,Y,SARIG metamorphic [ROCK_GROUP: Metamorphic General]
SAPT,Saprolite,2907,Saprolith,interburden,In-situ regolith,Y,SARIG saprolith = in-situ weathering [ROCK_GROUP: Saprolith]
QTZT,Quartzite,2288,Metasediment,basement,Metamorphic,Y,SARIG metasediment [ROCK_GROUP: Metasediment]
CLYS,Clay (Sedimentary),2220,Sediment Siliciclastic Lutite,overburden,Transported cover,Y,unconsolidated name within siliciclastic group
MSLT,Metasiltstone,1818,Metasediment Siliciclastic,basement,Metamorphic,Y,SARIG metasediment [ROCK_GROUP: Metasediment Siliciclastic]
MPOR,Metaporphyry,1729,Meta-Igneous,basement,Felsic-intermediate igneous,Y,felsic-intermediate protolith chemistry survives [ROCK_GROUP: Meta-Igneous]
MSST,Metasandstone,1603,Metasediment Siliciclastic,basement,Metamorphic,Y,SARIG metasediment [ROCK_GROUP: Metasediment Siliciclastic]
DLOM,Dolomite Rock,1349,Sediment Chemical/Biogenic Carbonate,basement,Carbonate-chemical sediment,Y,SARIG chemical/biogenic sediment [ROCK_GROUP: Sediment Chemical/Biogenic Carbonate]
LMST,Limestone,1253,Sediment Chemical/Biogenic Carbonate,basement,Carbonate-chemical sediment,Y,SARIG chemical/biogenic sediment [ROCK_GROUP: Sediment Chemical/Biogenic Carbonate]
MSED,Metasediment,1020,Metasediment,basement,Metamorphic,Y,SARIG metasediment [ROCK_GROUP: Metasediment]
GBRO,Gabbro,983,Igneous Mafic Intrusive,basement,Mafic-ultramafic igneous,Y,SARIG mafic igneous [ROCK_GROUP: Igneous Mafic Intrusive]
CGLM,Conglomerate,878,Sediment Siliciclastic Rudite,basement,Clastic sediment,Y,SARIG siliciclastic sediment [ROCK_GROUP: Sediment Siliciclastic Rudite]
